LISTADO ACIDENTES DONDE INTERVIENEN BICICLETAS MENSUAL;;;;ENERO  - MAYO 2017;;;

Fecha;TRAMO HORARIO;Nm Tot Victimas;DISTRITO;Lugar;Numero;Tipo Accidente;Tipo Vehiculo
01/01/2017 0:00;DE 6:00 A 6:59;1;ARGANZUELA                    ;CALLE DE TOLEDO                                                                                   ;120;CHOQUE CON OBJETO FIJO                  ;BICICLETA  
02/01/2017 0:00;DE 21:00 A 21:59;1;SAN BLAS                      ;CALLE DE MEQUINENZA                                                                               ;14;CAÍDA BICICLETA                         ;BICICLETA  
03/01/2017 0:00;DE 19:00 A 19:59;1;CENTRO                        ;CALLE DE LA ESCALINATA                                                                            ;8;CAÍDA BICICLETA                         ;BICICLETA  
04/01/2017 0:00;DE 21:00 A 21:59;1;CENTRO                        ;CALLE DE LA CAVA DE SAN MIGUEL                                                                    ;13;CAÍDA BICICLETA                         ;BICICLETA  
05/01/2017 0:00;DE 8:00 A 8:59;1;MONCLOA-ARAVACA               ;PUENTE DE LOS FRANCESES                                                                             ;;CAÍDA BICICLETA                         ;BICICLETA  
05/01/2017 0:00;DE 12:00 A 12:59;1;LATINA                        ;CARRETERA DE BOADILLA DEL MONTE                                                                   ;27;CAÍDA BICICLETA                         ;BICICLETA  
05/01/2017 0:00;DE 14:00 A 14:59;2;TETUAN                        ;CALLE DE LA INFANTA MERCEDES                                                                      ;27;ATROPELLO                               ;BICICLETA  
05/01/2017 0:00;DE 17:00 A 17:59;1;FUENCARRAL-EL PARDO           ;CALLE DE ANTONIO DE CABEZON                                                                       ;91;CAÍDA BICICLETA                         ;BICICLETA  
06/01/2017 0:00;DE 11:00 A 11:59;1;CENTRO                        ;CUESTA DE LA VEGA - PASEO DE LA CIUDAD DE PLASENCIA                                                 ;;COLISIÓN DOBLE                          ;BICICLETA  
06/01/2017 0:00;DE 17:00 A 17:59;1;SAN BLAS                      ;CALLE DE AREVALO LARA - CALLE DE TAMPICO                                                            ;;COLISIÓN DOBLE                          ;BICICLETA  
07/01/2017 0:00;DE 00:00 A 00:59;1;CENTRO                        ;CALLE DE SAN FELIPE NERI - PLAZA DE LOS HERRADORES                                                  ;;CAÍDA BICICLETA                         ;BICICLETA  
07/01/2017 0:00;DE 11:00 A 11:59;1;BARAJAS                       ;CALLE DE LA RIBERA DEL SENA - GLORIETA DE LUXEMBURGO                                                ;          ;COLISIÓN DOBLE                          ;BICICLETA  
07/01/2017 0:00;DE 14:00 A 14:59;1;FUENCARRAL-EL PARDO           ;CALLE DE FREUD - CALLE DE MARX                                                                      ;;CAÍDA BICICLETA                         ;BICICLETA  
08/01/2017 0:00;DE 13:00 A 13:59;1;ARGANZUELA                    ;RONDA DE TOLEDO                                                                                   ;14;CAÍDA BICICLETA                         ;BICICLETA  
08/01/2017 0:00;DE 20:00 A 20:59;1;CENTRO                        ;CALLE DE SEGOVIA                                                                                  ;16;CAÍDA BICICLETA                         ;BICICLETA  
09/01/2017 0:00;DE 14:00 A 14:59;1;TETUAN                        ;CALLE DE BRAVO MURILLO                                                                            ;101;CAÍDA BICICLETA                         ;BICICLETA  
09/01/2017 0:00;DE 19:00 A 19:59;1;MONCLOA-ARAVACA               ;CALLE DE LA GOLONDRINA - CALLE DE VALTRAVIESO                                                       ;;COLISIÓN DOBLE                          ;BICICLETA  
09/01/2017 0:00;DE 23:00 A 23:59;1;TETUAN                        ;CALLE DE LA INFANTA MERCEDES - CALLE DE SOR ANGELA DE LA CRUZ                                       ;;COLISIÓN DOBLE                          ;BICICLETA  
10/01/2017 0:00;DE 14:00 A 14:59;1;SAN BLAS                      ;CALLE DE LA REPUBLICA CHECA                                                                       ;1;CAÍDA BICICLETA                         ;BICICLETA  
10/01/2017 0:00;DE 18:00 A 18:59;1;RETIRO                        ;CALLE DE MONTALBAN                                                                                ;1;CAÍDA BICICLETA                         ;BICICLETA  
10/01/2017 0:00;DE 19:00 A 19:59;1;TETUAN                        ;CALLE DE BRAVO MURILLO                                                                            ;243;CAÍDA BICICLETA                         ;BICICLETA  
12/01/2017 0:00;DE 17:00 A 17:59;2;CENTRO                        ;CALLE  GRAN VIA                                                                                   ;22;COLISIÓN DOBLE                          ;BICICLETA  
12/01/2017 0:00;DE 18:00 A 18:59;1;RETIRO                        ;CALLE DE ALCALA                                                                                   ;52;COLISIÓN DOBLE                          ;BICICLETA  
12/01/2017 0:00;DE 20:00 A 20:59;1;FUENCARRAL-EL PARDO           ;CALLE DE GRAÑON - CALLE DE SAN JUAN DE ORTEGA                                                       ;;CAÍDA MOTOCICLETA                       ;BICICLETA  
13/01/2017 0:00;DE 9:00 A 9:59;1;VICALVARO                     ;AVENIDA DE LA DEMOCRACIA - BULEVAR DE JOSE PRAT                                                     ;;COLISIÓN DOBLE                          ;BICICLETA  
13/01/2017 0:00;DE 17:00 A 17:59;1;RETIRO                        ;CALLE DE ESPALTER                                                                                 ;3;CAÍDA BICICLETA                         ;BICICLETA  
15/01/2017 0:00;DE 11:00 A 11:59;1;ARGANZUELA                    ;PASEO DE LAS DELICIAS                                                                             ;89;ATROPELLO                               ;BICICLETA  
19/01/2017 0:00;DE 20:00 A 20:59;1;HORTALEZA                     ;AVENIDA DE MANUEL AZAÑA - CARRETERA A LA ESTACION DE HORTALEZA                                      ;;COLISIÓN DOBLE                          ;BICICLETA  
19/01/2017 0:00;DE 20:00 A 20:59;1;CIUDAD LINEAL                 ;CALLE DE JOSE SILVA - CALLE DE TORRELAGUNA                                                          ;;CAÍDA BICICLETA                         ;BICICLETA  
20/01/2017 0:00;DE 14:00 A 14:59;1;CHAMARTIN                     ;CALLE DE JOAQUIN COSTA                                                                            ;9;CAÍDA BICICLETA                         ;BICICLETA  
20/01/2017 0:00;DE 20:00 A 20:59;1;CHAMARTIN                     ;PASEO DE LA CASTELLANA                                                                            ;244;COLISIÓN DOBLE                          ;BICICLETA  
21/01/2017 0:00;DE 10:00 A 10:59;2;CARABANCHEL                   ;CARRIL  ANILLO VERDE CICLISTA KM.                                                                   ;32000;ATROPELLO                               ;BICICLETA  
21/01/2017 0:00;DE 20:00 A 20:59;1;SALAMANCA                     ;CALLE DE GOYA                                                                                     ;71;CAÍDA BICICLETA                         ;BICICLETA  
22/01/2017 0:00;DE 22:00 A 22:59;1;CHAMARTIN                     ;CALLE DE GUTIERREZ SOLANA - PASEO DE LA HABANA                                                      ;;CAÍDA BICICLETA                         ;BICICLETA  
24/01/2017 0:00;DE 10:00 A 10:59;1;RETIRO                        ;CALLE DE O'DONNELL                                                                                ;44;COLISIÓN DOBLE                          ;BICICLETA  
24/01/2017 0:00;DE 17:00 A 17:59;1;MONCLOA-ARAVACA               ;CARRETERA DE RODAJOS                                                                                ;;CAÍDA BICICLETA                         ;BICICLETA  
25/01/2017 0:00;DE 16:00 A 16:59;1;RETIRO                        ;AVENIDA DEL MEDITERRANEO                                                                          ;16;CAÍDA BICICLETA                         ;BICICLETA  
25/01/2017 0:00;DE 20:00 A 20:59;1;CENTRO                        ;PLAZA DEL EMPERADOR CARLOS V                                                                      ;8;CHOQUE CON OBJETO FIJO                  ;BICICLETA  
26/01/2017 0:00;DE 8:00 A 8:59;1;HORTALEZA                     ;AVENIDA DE MACHUPICHU - CALLE DE JOSE MIGUEL GURIDI                                                 ;;COLISIÓN DOBLE                          ;BICICLETA  
26/01/2017 0:00;DE 19:00 A 19:59;1;FUENCARRAL-EL PARDO           ;AVENIDA DEL MONASTERIO DE SILOS - CALLE DEL MONASTERIO DE EL PAULAR                                 ;;COLISIÓN DOBLE                          ;BICICLETA  
27/01/2017 0:00;DE 8:00 A 8:59;1;RETIRO                        ;CALLE DEL DOCTOR ESQUERDO                                                                         ;114;COLISIÓN DOBLE                          ;BICICLETA  
29/01/2017 0:00;DE 12:00 A 12:59;1;RETIRO                        ;PASEO DE VENEZUELA - PASEO DEL FERNAN NUÑEZ                                                         ;;CAÍDA BICICLETA                         ;BICICLETA  
31/01/2017 0:00;DE 19:00 A 19:59;1;FUENCARRAL-EL PARDO           ;CALLE DEL MONASTERIO DE ARLANZA                                                                   ;27;COLISIÓN DOBLE                          ;BICICLETA  
31/01/2017 0:00;DE 21:00 A 21:59;1;CENTRO                        ;CALLE DE CEDACEROS                                                                                ;4;CAÍDA BICICLETA                         ;BICICLETA  
01/02/2017 0:00;DE 14:00 A 14:59;1;CENTRO                        ;PASEO DEL PRADO                                                                                   ;6;CAÍDA BICICLETA                         ;BICICLETA  
02/02/2017 0:00;DE 15:00 A 15:59;1;ARGANZUELA                    ;AVENIDA DEL PLANETARIO - CALLE DE EROS                                                              ;;CAÍDA BICICLETA                         ;BICICLETA  
02/02/2017 0:00;DE 15:00 A 15:59;1;CENTRO                        ;CALLE  MAYOR                                                                                      ;70;CAÍDA BICICLETA                         ;BICICLETA  
02/02/2017 0:00;DE 22:00 A 22:59;1;HORTALEZA                     ;AVENIDA DE LOS ANDES - GLORIETA DE YUCATAN                                                          ;;COLISIÓN DOBLE                          ;BICICLETA  
03/02/2017 0:00;DE 00:00 A 00:59;1;CHAMBERI                      ;CALLE DE BRAVO MURILLO - CALLE DE JOSE ABASCAL                                                      ;;COLISIÓN DOBLE                          ;BICICLETA  
03/02/2017 0:00;DE 15:00 A 15:59;1;CIUDAD LINEAL                 ;AUTOVIA  M-30 CALZADA 2 - AVENIDA DE AMERICA                                                        ;;COLISIÓN DOBLE                          ;BICICLETA  
03/02/2017 0:00;DE 22:00 A 22:59;1;CENTRO                        ;CALLE DE SAN BERNARDO                                                                             ;5;CAÍDA BICICLETA                         ;BICICLETA  
04/02/2017 0:00;DE 13:00 A 13:59;1;SAN BLAS                      ;AVENIDA DE ARCENTALES                                                                             ;7;CAÍDA BICICLETA                         ;BICICLETA  
04/02/2017 0:00;DE 20:00 A 20:59;1;ARGANZUELA                    ;CALLE DE BUSTAMANTE - PASEO DE LAS DELICIAS                                                         ;;COLISIÓN DOBLE                          ;BICICLETA  
05/02/2017 0:00;DE 11:00 A 11:59;0;SALAMANCA                     ;CALLE DE GOYA                                                                                     ;97;COLISIÓN DOBLE                          ;BICICLETA  
05/02/2017 0:00;DE 12:00 A 12:59;1;MONCLOA-ARAVACA               ;CALLE DEL ALMIRANTE FRANCISCO MORENO                                                              ;13;CAÍDA BICICLETA                         ;BICICLETA  
06/02/2017 0:00;DE 19:00 A 19:59;1;ARGANZUELA                    ;GLORIETA DE EMBAJADORES                                                                           ;5;COLISIÓN DOBLE                          ;BICICLETA  
07/02/2017 0:00;DE 9:00 A 9:59;1;CENTRO                        ;CALLE DE TORIJA - PLAZA DE LA MARINA ESPAÑOLA                                                       ;;CAÍDA BICICLETA                         ;BICICLETA  
07/02/2017 0:00;DE 13:00 A 13:59;1;CHAMBERI                      ;CALLE DE ZURBARAN - PASEO DE LA CASTELLANA                                                          ;;CHOQUE CON OBJETO FIJO                  ;BICICLETA  
07/02/2017 0:00;DE 22:00 A 22:59;1;RETIRO                        ;AVENIDA DE MENENDEZ PELAYO                                                                        ;32;CHOQUE CON OBJETO FIJO                  ;BICICLETA  
08/02/2017 0:00;DE 17:00 A 17:59;1;PUENTE DE VALLECAS            ;CALLE DE LOS BARROS - RONDA  SUR                                                                    ;;COLISIÓN DOBLE                          ;BICICLETA  
09/02/2017 0:00;DE 16:00 A 16:59;1;CENTRO                        ;PLAZA DE SANTA CATALINA DE LOS DONADOS                                                            ;3;CAÍDA BICICLETA                         ;BICICLETA  
09/02/2017 0:00;DE 21:00 A 21:59;0;USERA                         ;AVENIDA DE LA PRINCESA JUANA DE AUSTRIA - AVENIDA DE LOS POBLADOS                                   ;;COLISIÓN DOBLE                          ;BICICLETA  
10/02/2017 0:00;DE 9:00 A 9:59;1;CENTRO                        ;CALLE DE PRECIADOS                                                                                ;28;CAÍDA BICICLETA                         ;BICICLETA  
10/02/2017 0:00;DE 13:00 A 13:59;1;SALAMANCA                     ;CALLE DE ALCALA                                                                                   ;149;COLISIÓN DOBLE                          ;BICICLETA  
10/02/2017 0:00;DE 14:00 A 14:59;1;FUENCARRAL-EL PARDO           ;CALLE DEL ARROYO DEL MONTE - PLAZA DE LA PRADERA DEL SACERAL                                        ;;COLISIÓN DOBLE                          ;BICICLETA  
12/02/2017 0:00;DE 00:00 A 00:59;1;CENTRO                        ;PLAZA DEL EMPERADOR CARLOS V - RONDA DE ATOCHA                                                      ;;COLISIÓN DOBLE                          ;BICICLETA  
13/02/2017 0:00;DE 19:00 A 19:59;1;TETUAN                        ;CALLE DE LOS ALGODONALES                                                                          ;10;CAÍDA BICICLETA                         ;BICICLETA  
14/02/2017 0:00;DE 8:00 A 8:59;1;CENTRO                        ;CALLE DE ALCALA                                                                                   ;51;COLISIÓN DOBLE                          ;BICICLETA  
14/02/2017 0:00;DE 9:00 A 9:59;1;SALAMANCA                     ;CALLE DEL ALCALDE SAINZ DE BARANDA                                                                ;92;COLISIÓN DOBLE                          ;BICICLETA  
14/02/2017 0:00;DE 16:00 A 16:59;1;MONCLOA-ARAVACA               ;PASEO DE LA PUERTA DEL ANGEL                                                                      ;3;CAÍDA BICICLETA                         ;BICICLETA  
14/02/2017 0:00;DE 21:00 A 21:59;1;SAN BLAS                      ;ACCESO A LA AUTOVIA M-40 - AVENIDA DE CANILLEJAS A VICALVARO                                        ;;COLISIÓN DOBLE                          ;BICICLETA  
15/02/2017 0:00;DE 8:00 A 8:59;1;CHAMARTIN                     ;CALLE DE SERRANO                                                                                  ;103;CAÍDA BICICLETA                         ;BICICLETA  
15/02/2017 0:00;DE 9:00 A 9:59;1;CIUDAD LINEAL                 ;CALLE DE MALMOE - PLAZA DE ALSACIA                                                                  ;;COLISIÓN DOBLE                          ;BICICLETA  
16/02/2017 0:00;DE 7:00 A 7:59;1;FUENCARRAL-EL PARDO           ;CALLE DE NUESTRA SEÑORA DE VALVERDE                                                               ;45;COLISIÓN DOBLE                          ;BICICLETA  
16/02/2017 0:00;DE 8:00 A 8:59;1;MONCLOA-ARAVACA               ;CALLE DEL MIRADOR DE LA SIERRA                                                                    ;12;COLISIÓN DOBLE                          ;BICICLETA  
17/02/2017 0:00;DE 13:00 A 13:59;1;SAN BLAS                      ;AUTOVIA  M-40 - AVENIDA DE CANILLEJAS A VICALVARO                                                   ;;COLISIÓN DOBLE                          ;BICICLETA  
18/02/2017 0:00;DE 13:00 A 13:59;1;HORTALEZA                     ;AVENIDA DE NICETO ALCALA ZAMORA - CALLE DE ARIADNA                                                  ;;COLISIÓN DOBLE                          ;BICICLETA  
18/02/2017 0:00;DE 16:00 A 16:59;1;CARABANCHEL                   ;AVENIDA DE LOS POBLADOS - CALLE DE LAS CERILLERAS                                                   ;;CAÍDA BICICLETA                         ;BICICLETA  
19/02/2017 0:00;DE 13:00 A 13:59;1;FUENCARRAL-EL PARDO           ;CARRETERA DE PARDO A FUENCARRAL KM.                                                                 ;7;CAÍDA BICICLETA                         ;BICICLETA  
19/02/2017 0:00;DE 13:00 A 13:59;1;CHAMBERI                      ;CALLE DE SANTA FELICIANA                                                                          ;6;ATROPELLO                               ;BICICLETA  
19/02/2017 0:00;DE 20:00 A 20:59;1;TETUAN                        ;AVENIDA DE ASTURIAS - CALLE DE SINESIO DELGADO                                                      ;;COLISIÓN DOBLE                          ;BICICLETA  
20/02/2017 0:00;DE 23:00 A 23:59;1;CARABANCHEL                   ;CALLE DE ZAIDA - CALLE DEL ARROYO VALDECELADA                                                       ;;COLISIÓN DOBLE                          ;BICICLETA  
22/02/2017 0:00;DE 19:00 A 19:59;1;MONCLOA-ARAVACA               ;PASEO DE CAMOENS Y VALERO                                                                           ;;COLISIÓN DOBLE                          ;BICICLETA  
24/02/2017 0:00;DE 19:00 A 19:59;1;CHAMBERI                      ;CALLE DE GUZMAN EL BUENO - CALLE DEL GENERAL ASENSIO CABANILLAS                                     ;;COLISIÓN DOBLE                          ;BICICLETA  
25/02/2017 0:00;DE 10:00 A 10:59;1;VILLA DE VALLECAS             ;AVENIDA DE LA GAVIA - AVENIDA DEL CERRO MILANO                                                      ;;COLISIÓN DOBLE                          ;BICICLETA  
25/02/2017 0:00;DE 14:00 A 14:59;1;VILLAVERDE                    ;PASEO DE ALBERTO PALACIOS                                                                         ;34;ATROPELLO                               ;BICICLETA  
25/02/2017 0:00;DE 16:00 A 16:59;1;RETIRO                        ;PARQUE DEL RETIRO                                                                                   ;;CAÍDA BICICLETA                         ;BICICLETA  
25/02/2017 0:00;DE 23:00 A 23:59;1;CENTRO                        ;PLAZA DE LA PUERTA DEL SOL                                                                        ;1;CHOQUE CON OBJETO FIJO                  ;BICICLETA  
27/02/2017 0:00;DE 10:00 A 10:59;1;CHAMBERI                      ;CALLE DE ZURBANO - PASEO DE EDUARDO DATO                                                            ;;COLISIÓN DOBLE                          ;BICICLETA  
28/02/2017 0:00;DE 17:00 A 17:59;1;SALAMANCA                     ;CALLE DE GOYA - CALLE DE SERRANO                                                                    ;;CAÍDA BICICLETA                         ;BICICLETA  
28/02/2017 0:00;DE 19:00 A 19:59;1;RETIRO                        ;AVENIDA DE MENENDEZ PELAYO                                                                        ;38;CAÍDA BICICLETA                         ;BICICLETA  
28/02/2017 0:00;DE 19:00 A 19:59;1;CARABANCHEL                   ;CALLE DE CARCASTILLO                                                                              ;25;COLISIÓN DOBLE                          ;BICICLETA  
28/02/2017 0:00;DE 19:00 A 19:59;1;SAN BLAS                      ;AVENIDA DE ARCENTALES - CALLE DE MIGUEL YUSTE                                                       ;;COLISIÓN DOBLE                          ;BICICLETA  
28/02/2017 0:00;DE 19:00 A 19:59;1;CHAMARTIN                     ;CALLE DE LOS CONDES DEL VAL                                                                       ;11;CAÍDA BICICLETA                         ;BICICLETA  
28/02/2017 0:00;DE 20:00 A 20:59;1;RETIRO                        ;CALLE DE LOPE DE RUEDA - CALLE DE O'DONNELL                                                         ;;CAÍDA BICICLETA                         ;BICICLETA  
01/03/2017 0:00;DE 9:00 A 9:59;1;HORTALEZA                     ;CARRETERA DE CANILLAS                                                                             ;10;CAÍDA BICICLETA                         ;BICICLETA  
02/03/2017 0:00;DE 8:00 A 8:59;1;CENTRO                        ;CALLE DE SAN BERNARDO                                                                             ;59;CAÍDA BICICLETA                         ;BICICLETA  
03/03/2017 0:00;DE 14:00 A 14:59;1;CHAMBERI                      ;CALLE DE RAIMUNDO FERNANDEZ VILLAVERDE                                                            ;30;CAÍDA BICICLETA                         ;BICICLETA  
03/03/2017 0:00;DE 19:00 A 19:59;1;PUENTE DE VALLECAS            ;AVENIDA DE LAS GLORIETAS                                                                          ;14;CAÍDA BICICLETA                         ;BICICLETA  
05/03/2017 0:00;DE 15:00 A 15:59;1;CHAMBERI                      ;CALLE DE GENOVA - PLAZA DE ALONSO MARTINEZ                                                          ;;CAÍDA BICICLETA                         ;BICICLETA  
06/03/2017 0:00;DE 12:00 A 12:59;1;CARABANCHEL                   ;CALLE DE LA OCA - CALLE DE RAMON SAINZ                                                              ;;COLISIÓN DOBLE                          ;BICICLETA  
07/03/2017 0:00;DE 11:00 A 11:59;1;VILLAVERDE                    ;CALLE DE SAN NORBERTO                                                                             ;8;COLISIÓN DOBLE                          ;BICICLETA  
07/03/2017 0:00;DE 18:00 A 18:59;1;FUENCARRAL-EL PARDO           ;CARRETERA DE EL PARDO                                                                             ;7;CAÍDA BICICLETA                         ;BICICLETA  
07/03/2017 0:00;DE 22:00 A 22:59;1;CENTRO                        ;PLAZA DE SANTA BARBARA                                                                            ;6;CAÍDA BICICLETA                         ;BICICLETA  
07/03/2017 0:00;DE 23:00 A 23:59;1;PUENTE DE VALLECAS            ;PLAZA DE LA ASAMBLEA DE MADRID                                                                      ;;COLISIÓN DOBLE                          ;BICICLETA  
08/03/2017 0:00;DE 7:00 A 7:59;1;RETIRO                        ;CALLE DE ALFONSO XII                                                                              ;52;COLISIÓN DOBLE                          ;BICICLETA  
08/03/2017 0:00;DE 13:00 A 13:59;1;CHAMBERI                      ;CALLE DE FERNANDO EL CATOLICO                                                                     ;25;COLISIÓN DOBLE                          ;BICICLETA  
08/03/2017 0:00;DE 23:00 A 23:59;1;CHAMBERI                      ;CALLE DE MARIA PANES - CALLE DE MODESTO LAFUENTE                                                    ;;CAÍDA BICICLETA                         ;BICICLETA  
09/03/2017 0:00;DE 15:00 A 15:59;1;ARGANZUELA                    ;CALLE DE MURCIA - CALLE DE RAFAEL DE RIEGO                                                          ;;CAÍDA BICICLETA                         ;BICICLETA  
09/03/2017 0:00;DE 16:00 A 16:59;1;MONCLOA-ARAVACA               ;CALLE DE EMERENCIANA ZURILLA - CALLE DE SAN RESTITUTO                                               ;;COLISIÓN DOBLE                          ;BICICLETA  
09/03/2017 0:00;DE 19:00 A 19:59;1;CIUDAD LINEAL                 ;CALLE DE ARTURO SORIA - CUESTA DEL SAGRADO CORAZON                                                  ;          ;COLISIÓN DOBLE                          ;BICICLETA  
09/03/2017 0:00;DE 20:00 A 20:59;1;VICALVARO                     ;AVENIDA DE LAS COMUNIDADES - BULEVAR DE JOSE PRAT                                                   ;;COLISIÓN DOBLE                          ;BICICLETA  
10/03/2017 0:00;DE 9:00 A 9:59;2;CARABANCHEL                   ;CALLE DEL GENERAL RICARDOS                                                                        ;177;COLISIÓN DOBLE                          ;BICICLETA  
10/03/2017 0:00;DE 9:00 A 9:59;1;VILLA DE VALLECAS             ;CARRETERA DE VILLAVERDE A VALLECAS KM.                                                              ;1300;COLISIÓN DOBLE                          ;BICICLETA  
10/03/2017 0:00;DE 14:00 A 14:59;2;ARGANZUELA                    ;CALLE DE SAN ALEJANDRO                                                                            ;6;COLISIÓN DOBLE                          ;BICICLETA  
10/03/2017 0:00;DE 17:00 A 17:59;1;MONCLOA-ARAVACA               ;GLORIETA DE LOS PATINES - PASEO DE LA PUERTA DEL ANGEL                                              ;;CAÍDA BICICLETA                         ;BICICLETA  
10/03/2017 0:00;DE 18:00 A 18:59;1;BARAJAS                       ;CALLE DE BUGEDO - CALLE DE TRESPADERNE                                                              ;;CAÍDA BICICLETA                         ;BICICLETA  
10/03/2017 0:00;DE 18:00 A 18:59;1;MONCLOA-ARAVACA               ;CARRIL  ANILLO VERDE CICLISTA KM.                                                                   ;43300;COLISIÓN DOBLE                          ;BICICLETA  
12/03/2017 0:00;DE 15:00 A 15:59;1;TETUAN                        ;AVENIDA DEL PRESIDENTE CARMONA - CALLE DE LOS MARTIRES DE LA VENTILLA                               ;;COLISIÓN DOBLE                          ;BICICLETA  
13/03/2017 0:00;DE 8:00 A 8:59;1;CENTRO                        ;CALLE DE SAN BERNARDO - CALLE DE SAN VICENTE FERRER                                                 ;;COLISIÓN DOBLE                          ;BICICLETA  
14/03/2017 0:00;DE 9:00 A 9:59;1;FUENCARRAL-EL PARDO           ;CALLE DE LA COSTA BRAVA                                                                           ;17;COLISIÓN DOBLE                          ;BICICLETA  
14/03/2017 0:00;DE 21:00 A 21:59;1;ARGANZUELA                    ;CALLE DE EMBAJADORES                                                                              ;76;CAÍDA BICICLETA                         ;BICICLETA  
15/03/2017 0:00;DE 17:00 A 17:59;1;TETUAN                        ;CALLE DE BRAVO MURILLO                                                                            ;288;COLISIÓN DOBLE                          ;BICICLETA  
15/03/2017 0:00;DE 19:00 A 19:59;2;CENTRO                        ;PLAZA DE GABRIEL MIRO                                                                             ;3;ATROPELLO                               ;BICICLETA  
16/03/2017 0:00;DE 14:00 A 14:59;1;CENTRO                        ;CALLE DEL CABALLERO DE GRACIA                                                                     ;36;CAÍDA BICICLETA                         ;BICICLETA  
16/03/2017 0:00;DE 20:00 A 20:59;1;SALAMANCA                     ;CALLE DE FRANCISCO SILVELA                                                                        ;50;COLISIÓN DOBLE                          ;BICICLETA  
17/03/2017 0:00;DE 13:00 A 13:59;1;CENTRO                        ;CALLE DE SAN BERNARDO - CALLE DEL PEZ                                                               ;;COLISIÓN DOBLE                          ;BICICLETA  
17/03/2017 0:00;DE 15:00 A 15:59;1;ARGANZUELA                    ;PASEO DE SANTA MARIA DE LA CABEZA                                                                 ;10;CAÍDA BICICLETA                         ;BICICLETA  
17/03/2017 0:00;DE 22:00 A 22:59;2;CHAMBERI                      ;CALLE DE LUCHANA - GLORIETA DE BILBAO                                                               ;;COLISIÓN DOBLE                          ;BICICLETA  
18/03/2017 0:00;DE 14:00 A 14:59;1;ARGANZUELA                    ;CALLE DE SEGOVIA                                                                                  ;57;CAÍDA BICICLETA                         ;BICICLETA  
19/03/2017 0:00;DE 10:00 A 10:59;1;CENTRO                        ;CALLE DE LA MONTERA - CALLE DE LOS JARDINES                                                         ;;CAÍDA BICICLETA                         ;BICICLETA  
19/03/2017 0:00;DE 18:00 A 18:59;1;RETIRO                        ;PASEO DEL FERNAN NUÑEZ                                                                              ;;ATROPELLO                               ;BICICLETA  
20/03/2017 0:00;DE 15:00 A 15:59;1;RETIRO                        ;AVENIDA DE LA CIUDAD DE BARCELONA - CALLE DEL ALBERCHE                                              ;;ATROPELLO                               ;BICICLETA  
20/03/2017 0:00;DE 18:00 A 18:59;1;HORTALEZA                     ;AVENIDA DE LOS ANDES                                                                              ;46;COLISIÓN DOBLE                          ;BICICLETA  
20/03/2017 0:00;DE 21:00 A 21:59;1;CHAMBERI                      ;CALLE DE BRAVO MURILLO                                                                            ;80;ATROPELLO                               ;BICICLETA  
21/03/2017 0:00;DE 16:00 A 16:59;1;VILLAVERDE                    ;PASEO DE LOS FERROVIARIOS                                                                         ;11;COLISIÓN DOBLE                          ;BICICLETA  
21/03/2017 0:00;DE 16:00 A 16:59;1;PUENTE DE VALLECAS            ;BARRIO DE LA CELSA - CARRETERA DE VILLAVERDE A VALLECAS                                             ;;CAÍDA BICICLETA                         ;BICICLETA  
21/03/2017 0:00;DE 16:00 A 16:59;1;SALAMANCA                     ;CALLE DE AYALA                                                                                    ;15;COLISIÓN DOBLE                          ;BICICLETA  
21/03/2017 0:00;DE 16:00 A 16:59;1;USERA                         ;CALLE DE DOLORES BARRANCO - CALLE DE LOS FERROVIARIOS                                               ;;COLISIÓN DOBLE                          ;BICICLETA  
22/03/2017 0:00;DE 12:00 A 12:59;1;ARGANZUELA                    ;CALLE DE BOLIVAR - CALLE DEL BRONCE                                                                 ;;COLISIÓN DOBLE                          ;BICICLETA  
